,Name_Firs_Last,Birth_Date,Date,Prefer_Game,Visits,Avg_Bet,Player_Type,Total_Bet,Balance,Bonus,Bonus_From_Points,Match_Pay,Tombola_Game,Total_Bonuses,Clean_Balance,Bonus_Percent_of_Bet,Bonus_Percent_of_Lose,Play_Percent,New_Customers,Hold_On_Sept,Hold_On_Okt,Holded,Total_Bet_range
34,Star Superhero,16-06-92,01-08-18,SLOTS,3,0.283573814,Новак,2167.236254,108.6162535,0,0,0,0,108.6162535,0,0,0.949882597,NA,NA,NA,NA,0,1000-5000
35,Commando Queens,01-01-96,01-08-18,SLOTS,1,0.7375,Слаб,12.5375,10.1375,0,0,0,0,10.1375,0,0,0.191425723,NA,NA,NA,NA,0,0-100
36,Clean Boys,16-10-95,01-08-18,SLOTS,1,0.533704735,Слаб,192.1337047,39.53370474,0,0,0,0,39.53370474,0,0,0.794238576,Yes,NA,NA,NA,0,100-500
37,Logging Showdown,23-02-96,01-08-18,SLOTS,1,0.394805195,Новак,30.79480519,9.994805195,0,0,0,0,9.994805195,0,0,0.675438596,Yes,NA,NA,NA,0,0-100
38,Warrior Apprentice,01-08-99,01-08-18,SLOTS,1,0.197222222,Новак,14.39722222,5.197222222,0,0,0,0,5.197222222,0,0,0.639012155,Yes,NA,NA,NA,0,0-100
39,Outback Hoarders,25-12-77,01-08-18,SLOTS,1,2.734477282,Хубав,8753.121278,1299.171278,0,0,0,0,1299.171278,0,0,0.851576228,Yes,NA,NA,NA,0,5000-20000
40,Action Inventor,12-11-64,01-08-18,SLOTS,9,0.751042208,Слаб,7509.282802,1214.182802,0,125,0,125,1089.182802,0.016646064,0.102949902,0.854955149,Yes,NA,NA,NA,0,5000-20000
41,Rock Star Exes,16-12-64,01-08-18,SLOTS,1,0.98121949,Среден,600.5121949,55.5121949,0,0,0,0,55.5121949,0,0,0.907558589,NA,NA,NA,NA,0,500-1000
42,Pioneer Raiders,30-04-71,01-08-18,SLOTS,1,0.756995072,Слаб,933.0839409,223.2839409,0,0,0,0,223.2839409,0,0,0.760703265,NA,NA,NA,NA,0,500-1000
43,Army Missions,27-09-95,01-08-18,SLOTS,1,0.296707819,Новак,72.39670782,9.196707819,0,0,0,0,9.196707819,0,0,0.872967872,NA,NA,NA,NA,0,0-100
44,Amateur Boss,10-10-10,01-08-18,ROULETTE,1,5.96969697,Слаб,202.969697,105.769697,0,0,0,0,105.769697,0,0,0.478889221,NA,NA,NA,NA,0,100-500
45,Motorway Job,01-07-81,01-08-18,SLOTS,2,1.151715101,Среден,1254.738019,-693.9619815,0,10,0,10,-703.9619815,0.007969791,-0.014410011,1.561042999,NA,NA,NA,NA,0,1000-5000
46,Project Dad,28-09-60,01-08-18,SLOTS,1,0.361060345,Новак,355.08,85,0,0,0,0,85,0,0,0.760617326,Yes,NA,NA,NA,0,100-500
47,Fish Tank Marvels,10-10-10,01-08-18,SLOTS,1,1.036781609,Среден,159.6735632,0.373563218,0,0,0,0,0.373563218,0,0,0.997660457,NA,NA,NA,NA,0,100-500
48,Star Boss,14-07-98,01-08-18,ROULETTE,1,0.531818182,Новак,12.23181818,0.031818182,0,0,0,0,0.031818182,0,0,0.997398737,NA,NA,NA,NA,0,0-100
49,Whale Life,16-01-62,01-08-18,SLOTS,9,0.394298274,Новак,7285.767237,446.9172365,0,55,0,55,391.9172365,0.007548965,0.123065292,0.946207829,Yes,NA,NA,NA,0,5000-20000
50,Colonial Supermodel,17-12-89,01-08-18,SLOTS,1,0.742,Слаб,39.684,19.884,0,0,0,0,19.884,0,0,0.498941639,Yes,NA,NA,NA,0,0-100
51,Logging Contest,05-01-48,01-08-18,SLOTS,5,0.216772659,Новак,7258.095037,483.4650374,0,50,0,50,433.4650374,0.00688886,0.103420095,0.940278402,NA,NA,NA,NA,0,5000-20000
52,Cajun Pickers,28-01-98,01-08-18,SLOTS,1,0.386666667,Новак,11.98666667,9.886666667,0,0,0,0,9.886666667,0,0,0.175194661,Yes,NA,NA,NA,0,0-100
53,Mystery Nation,08-06-59,01-08-18,SLOTS,1,0.752493077,Слаб,1795.453247,445.8632468,0,0,0,0,445.8632468,0,0,0.751670923,NA,NA,NA,NA,0,1000-5000
54,Air Whisperer,13-10-88,01-08-18,SLOTS,2,0.315855767,Новак,2235.093767,325.9437668,50,0,0,5,320.9437668,0.002237043,0.015340069,0.856407023,Yes,NA,NA,NA,0,1000-5000
55,Pioneer Justice,09-09-87,01-08-18,SLOTS,1,2.815703921,Хубав,1379.294224,-62.70577647,0,0,0,0,-62.70577647,0,0,1.045462219,NA,NA,NA,NA,0,1000-5000
56,Amateur Files,04-02-99,01-08-18,SLOTS,1,0.383333333,Новак,14.18333333,9.983333333,0,0,0,0,9.983333333,0,0,0.296122209,NA,NA,NA,NA,0,0-100
57,Single Inventors,25-05-65,01-08-18,SLOTS,4,1.260833463,Среден,9919.409741,416.7197414,160,155,0,171,245.7197414,0.017238929,0.41034773,0.975228391,Yes,NA,NA,NA,0,5000-20000
58,Royal Celebrities,10-06-55,01-08-18,SLOTS,7,0.253370019,Новак,5682.539193,307.7891933,110,15,0,26,281.7891933,0.004575419,0.084473401,0.950411395,Yes,NA,NA,NA,0,5000-20000
59,Model Consignment,19-07-61,01-08-18,SLOTS,3,0.403772209,Слаб,987.5758555,120.6358555,0,0,0,0,120.6358555,0,0,0.877846492,Yes,NA,NA,NA,0,500-1000
60,Celebrity School,28-02-62,01-08-18,SLOTS,1,0.857583333,Среден,373.5551667,139.7051667,0,0,0,0,139.7051667,0,0,0.626011955,NA,NA,NA,NA,0,100-500
61,Mega Brother,25-04-82,01-08-18,SLOTS,8,1.858222646,Среден,11859.38572,3697.52572,200,390,0,410,3287.52572,0.034571774,0.110884962,0.722791231,Yes,NA,NA,NA,0,5000-20000
62,Colonial Master,20-10-73,01-08-18,SLOTS,1,0.528,Слаб,26.928,21.478,0,0,0,0,21.478,0,0,0.202391563,NA,NA,NA,NA,0,0-100
63,American Star,24-11-91,01-08-18,SLOTS,1,0.598814229,Слаб,303.5988142,-10.50118577,0,0,0,0,-10.50118577,0,0,1.034589021,NA,NA,NA,NA,0,100-500
64,Nanny Wives,21-12-89,01-08-18,SLOTS,2,0.420703745,Слаб,11224.92879,522.8287879,990,0,0,99,423.8287879,0.008819655,0.189354531,0.962242185,NA,NA,NA,NA,0,5000-20000
65,Celebrity Greenlight,29-08-59,01-08-18,SLOTS,5,3.057848585,Хубав,29679.74947,881.0994679,480,315,0,363,518.0994679,0.012230561,0.411985268,0.982543671,Yes,NA,NA,NA,0,20000-100000
66,Commando Wedding,03-11-61,01-08-18,SLOTS,4,0.538474299,Слаб,5035.149722,198.4997219,0,55,0,55,143.4997219,0.01092321,0.277078474,0.971500406,Yes,NA,NA,NA,0,5000-20000
67,Fear Dance Crew,31-12-99,01-08-18,SLOTS,4,0.283501159,Новак,496.4069444,112.5969444,0,0,0,0,112.5969444,0,0,0.77317613,Yes,NA,NA,NA,0,100-500
68,Drama Icon,18-02-00,01-08-18,ROULETTE,1,3.376923077,Новак,47.27692308,12.17692308,0,0,0,0,12.17692308,0,0,0.742434103,NA,NA,NA,NA,0,0-100
69,Outback Dance Crew,25-12-99,01-08-18,SLOTS,1,0.303779157,Новак,155.566179,8.936179004,0,0,0,0,8.936179004,0,0,0.942557058,Yes,NA,NA,NA,0,100-500
70,Paradise Disasters,02-09-68,01-08-18,SLOTS,1,0.576243068,Слаб,668.7524861,-14.79751386,0,0,0,0,-14.79751386,0,0,1.022127041,NA,NA,NA,NA,0,500-1000
71,Hot Rod Show,11-05-97,01-08-18,SLOTS,1,0.351607308,Новак,404.7855556,26.76555556,0,0,0,0,26.76555556,0,0,0.933877197,Yes,NA,NA,NA,0,100-500
72,Pawn Hour,11-05-93,01-08-18,SLOTS,1,0.376461108,Новак,1190.968414,-71.00158612,0,0,0,0,-71.00158612,0,0,1.059616683,Yes,NA,NA,NA,0,1000-5000
73,Space Challenge,18-10-79,01-08-18,SLOTS,17,0.518420809,Слаб,12990.2616,1331.901598,0,135,0,135,1196.901598,0.0103924,0.101358839,0.907861625,Yes,NA,NA,NA,0,5000-20000
74,Spouse Family,07-10-83,01-08-18,SLOTS,9,0.467564845,Слаб,3412.992841,-1084.007159,0,0,0,0,-1084.007159,0,0,1.317611905,NA,NA,NA,NA,0,1000-5000
75,College Pickers,12-05-76,01-08-18,SLOTS,2,0.476877381,Слаб,720.2766684,-50.4233316,0,0,0,0,-50.4233316,0,0,1.070005505,NA,NA,NA,NA,0,500-1000
76,Action Academy,10-07-84,01-08-18,SLOTS,1,0.443344836,Слаб,394.4334484,-46.31655164,0,0,0,0,-46.31655164,0,0,1.117425517,NA,NA,NA,NA,0,100-500
77,Backyard Wars,28-01-96,01-08-18,SLOTS,7,1.843237429,Среден,10485.54962,725.649623,0,150,0,150,575.649623,0.014305402,0.206711332,0.945100672,Yes,NA,NA,NA,0,5000-20000
78,Bachelorette Moms,18-05-99,01-08-18,ROULETTE,1,2.0495,Новак,93.299,20.699,0,0,0,0,20.699,0,0,0.778143388,NA,NA,NA,NA,0,0-100
79,Date Room,01-01-16,01-08-18,ROULETTE,1,9.676923077,Слаб,178.2273363,-43.5726637,0,0,0,0,-43.5726637,0,0,1.244478005,NA,NA,NA,NA,0,100-500
80,Road Ship,26-04-65,01-08-18,SLOTS,1,1.521534528,Среден,1565.929207,-100.4607928,0,0,0,0,-100.4607928,0,0,1.064154109,NA,NA,NA,NA,0,1000-5000
81,The Boss,19-01-00,01-08-18,SLOTS,1,0.237352941,Новак,55.95,-10.15,0,0,0,0,-10.15,0,0,1.181411975,NA,NA,NA,NA,0,0-100
82,Sister Supermodel,30-08-60,01-08-18,SLOTS,3,1.328063829,Среден,4712.275913,838.5359132,90,105,0,114,724.5359132,0.024192132,0.135951243,0.846245015,Yes,NA,NA,NA,0,1000-5000
83,Myth Ninja,16-06-92,01-08-18,SLOTS,1,0.447838841,Слаб,89.24567768,49.98567768,0,0,0,0,49.98567768,0,0,0.43990926,NA,NA,NA,NA,0,0-100
84,Bachelorette Kings,06-08-96,01-08-18,SLOTS,1,0.373333333,Новак,5.973333333,4.973333333,0,0,0,0,4.973333333,0,0,0.167410714,NA,NA,NA,NA,0,0-100
85,Casino Rescue,18-01-86,01-08-18,ROULETTE,3,69.769026,Хубав,43616.09117,-3615.945791,0,60,0,60,-3675.945791,0.001375639,-0.016593169,1.084279579,NA,NA,NA,NA,0,20000-100000
86,Diva Intervention,19-04-88,01-08-18,SLOTS,1,0.526827937,Слаб,157.6420238,69.49202381,0,0,0,0,69.49202381,0,0,0.559178307,Yes,NA,NA,NA,0,100-500
87,Empire People,15-06-93,01-08-18,ROULETTE,1,0.728909953,Новак,154.52891,70.52890995,0,0,0,0,70.52890995,0,0,0.543587605,NA,NA,NA,NA,0,100-500
88,Renovation Dance Crew,21-09-89,01-08-18,SLOTS,2,0.379846431,Новак,578.6193857,92.21938573,0,0,0,0,92.21938573,0,0,0.84062168,Yes,NA,NA,NA,0,500-1000
89,Wife Story,21-09-97,01-08-18,SLOTS,1,0.198888889,Новак,35.8,9.67,0,0,0,0,9.67,0,0,0.729888268,Yes,NA,NA,NA,0,0-100
90,Nanny Date,20-07-81,01-08-18,ROULETTE,1,0.815048544,Новак,98.6,11,0,0,0,0,11,0,0,0.888438134,Yes,NA,NA,NA,0,0-100
91,Bounty Contender,27-09-98,01-08-18,SLOTS,4,0.355951001,Новак,207.1167742,-145.3332258,0,0,0,0,-145.3332258,0,0,1.701697032,Yes,NA,NA,NA,0,100-500
92,Job Star,17-07-96,01-08-18,SLOTS,1,0.247207188,Новак,114.0713028,38.07130283,0,0,0,0,38.07130283,0,0,0.666249952,NA,NA,NA,NA,0,100-500
93,Cake Mania,12-09-57,01-08-18,SLOTS,3,4.783863207,Хубав,38593.16288,4626.832879,590,480,0,539,4087.832879,0.013966204,0.116494374,0.894078832,Yes,NA,NA,NA,0,20000-100000
94,Farm Contest,30-05-84,01-08-18,SLOTS,2,0.313242755,Новак,1930.627277,125.1872773,0,0,0,0,125.1872773,0,0,0.935157201,Yes,NA,NA,NA,0,1000-5000
95,Ax Makeover,15-06-85,01-08-18,SLOTS,2,0.442450219,Слаб,261.72,54.42,0,0,0,0,54.42,0,0,0.792067859,NA,NA,NA,NA,0,100-500
96,Celebrity Mania,04-10-59,01-08-18,SLOTS,10,0.536538847,Слаб,12031.84524,857.7052428,0,115,0,115,742.7052428,0.009557969,0.134078695,0.938271709,Yes,NA,NA,NA,0,5000-20000
97,Family Wishes,22-06-58,01-08-18,SLOTS,11,0.733597292,Слаб,8742.940915,1086.520915,0,160,0,160,926.5209146,0.018300478,0.147259015,0.894026401,Yes,NA,NA,NA,0,5000-20000
98,Surf Ship,21-06-00,01-08-18,SLOTS,2,0.244592456,Новак,138.3736171,-40.22638285,0,0,0,0,-40.22638285,0,0,1.290708472,NA,NA,NA,NA,0,100-500
99,Paradise Hoarders,22-06-00,01-08-18,SLOTS,2,0.218438626,Новак,41.05354392,9.313543919,0,0,0,0,9.313543919,0,0,0.773136664,NA,NA,NA,NA,0,0-100
100,Rock Crashers,22-07-99,01-08-18,SLOTS,1,0.415186124,Слаб,359.0855916,59.52559165,0,0,0,0,59.52559165,0,0,0.834230075,NA,NA,NA,NA,0,100-500
101,Myth Ship,08-04-97,01-08-18,SLOTS,7,0.372950958,Новак,1253.858123,137.9081226,0,0,0,0,137.9081226,0,0,0.890012977,NA,NA,NA,NA,0,1000-5000
102,Renovation Star,18-06-77,01-08-18,SLOTS,3,0.624633073,Слаб,2938.748266,845.8382663,0,0,0,0,845.8382663,0,0,0.712177366,NA,NA,NA,NA,0,1000-5000
103,Turf Crashers,21-04-88,01-08-18,SLOTS,1,NA,NA,1,-173,0,0,0,0,-173,0,0,174,NA,NA,NA,NA,0,0-100
104,The Great American Rescue,18-07-00,01-08-18,ROULETTE,1,0.892857143,Новак,19.28571429,-4.714285714,0,0,0,0,-4.714285714,0,0,1.244444444,NA,NA,NA,NA,0,0-100
105,Wife Job,20-08-99,01-08-18,ROULETTE,1,8.117948718,Слаб,325.7179487,-55,0,0,0,0,-55,0,0,1.16885775,Yes,NA,NA,NA,0,100-500
106,Chef Story,12-10-98,01-08-18,ROULETTE,4,2.450877193,Новак,105.8,39.32,0,0,0,0,39.32,0,0,0.628355388,Yes,NA,NA,NA,0,100-500
107,Wife Ship,22-04-91,01-08-18,SLOTS,2,7.494891439,Хубав,9850.214451,1259.214451,0,20,0,20,1239.214451,0.002030413,0.015882918,0.874194165,Yes,NA,NA,NA,0,5000-20000
108,Commando Stars,16-06-99,01-08-18,ROULETTE,4,4.006298077,Новак,556.0576923,44.21769231,0,0,0,0,44.21769231,0,0,0.920480028,Yes,NA,NA,NA,0,500-1000
109,The Great American Dynasty,31-10-76,01-08-18,SLOTS,1,1.03438408,Среден,915.1375363,50.13753632,0,0,0,0,50.13753632,0,0,0.945213114,NA,NA,NA,NA,0,500-1000
110,Surf Makeover,08-12-79,01-08-18,ROULETTE,2,100.1849206,Хубав,1533.555556,788.3555556,0,185,0,185,603.3555556,0.120634691,0.234665689,0.606564266,Yes,NA,NA,NA,0,1000-5000
111,Model Wives,16-12-91,01-08-18,SLOTS,1,0.487818126,Слаб,372.7756363,-52.22436375,0,0,0,0,-52.22436375,0,0,1.140095968,Yes,NA,NA,NA,0,100-500
112,Fast Food Gypsies,21-03-66,01-08-18,SLOTS,1,2.475728155,Хубав,257.4757282,99.97572816,0,0,0,0,99.97572816,0,0,0.611708145,Yes,NA,NA,NA,0,100-500
113,Shark Hunters,10-10-10,01-08-18,SLOTS,1,0.437349918,Слаб,706.2993997,23.49939967,0,0,0,0,23.49939967,0,0,0.966728841,NA,NA,NA,NA,0,500-1000
114,Casino Rules,10-10-10,01-08-18,SLOTS,1,0.874706868,Среден,523.0747069,-109.6452931,0,0,0,0,-109.6452931,0,0,1.20961689,NA,NA,NA,NA,0,500-1000
115,Nanny Inventor,26-06-88,01-08-18,SLOTS,3,0.284794042,Новак,4136.511111,612.0711111,0,70,0,70,542.0711111,0.016922474,0.114365796,0.868954513,Yes,NA,NA,NA,0,1000-5000
116,Ax Challenge,23-08-99,01-08-18,ROULETTE,1,1.726666667,Новак,27.62666667,-5.273333333,0,0,0,0,-5.273333333,0,0,1.190878378,NA,NA,NA,NA,0,0-100
117,New York Ladies,23-08-50,01-08-18,SLOTS,3,0.775914031,Слаб,3037.864247,-204.6957529,60,10,0,16,-220.6957529,0.005266858,-0.078164787,1.072648326,Yes,NA,NA,NA,0,1000-5000
118,Crocodile Wars,17-04-86,01-08-18,SLOTS,2,0.442620985,Слаб,634.8204839,80.82048394,0,0,0,0,80.82048394,0,0,0.872687656,Yes,NA,NA,NA,0,500-1000
119,Chef Greenlight,03-01-99,01-08-18,ROULETTE,1,0.545454545,Новак,24.54545455,10.04545455,0,0,0,0,10.04545455,0,0,0.590740741,NA,NA,NA,NA,0,0-100
120,Millionaire Icon,13-01-64,01-08-18,SLOTS,1,0.313023416,Новак,129.785,39.875,0,20,0,20,19.875,0.154101013,0.501567398,0.846862118,Yes,NA,NA,NA,0,100-500
121,Ancient Gypsies,13-03-69,01-08-18,SLOTS,1,0.740591361,Слаб,885.9102148,219.9402148,0,0,0,0,219.9402148,0,0,0.751735321,NA,NA,NA,NA,0,500-1000
122,Mom Makeover,07-08-86,01-08-18,ROULETTE,1,28.18571429,Среден,1159.985714,306.4342857,0,0,0,0,306.4342857,0,0,0.735829259,NA,NA,NA,NA,0,1000-5000
123,The Real Story,27-01-54,01-08-18,SLOTS,3,0.637204116,Слаб,1385.777027,267.067027,0,15,0,15,252.067027,0.010824252,0.056165676,0.818104196,Yes,NA,NA,NA,0,1000-5000
124,Drama Next Door,09-02-91,01-08-18,SLOTS,1,0.829915254,Среден,315.4598305,-79.04016949,0,0,0,0,-79.04016949,0,0,1.250555417,Yes,NA,NA,NA,0,100-500
125,BBQ Hunters,27-11-99,01-08-18,ROULETTE,5,7.595136912,Слаб,879.0993688,-23.60063123,0,0,0,0,-23.60063123,0,0,1.026846375,Yes,NA,NA,NA,0,500-1000
126,Single Show,01-04-98,01-08-18,SLOTS,5,0.833965084,Среден,3824.661,673.921,0,45,0,45,628.921,0.011765749,0.066773405,0.835561635,Yes,NA,NA,NA,0,1000-5000
127,Single Moms,15-10-87,01-08-18,SLOTS,1,0.329464286,Новак,37.22946429,19.90946429,0,0,0,0,19.90946429,0,0,0.465222918,Yes,NA,NA,NA,0,0-100
128,Pawn Consignment,23-09-95,01-08-18,SLOTS,3,0.544633878,Слаб,4236.272345,-490.6876552,0,30,0,30,-520.6876552,0.007081698,-0.061138689,1.122911752,Yes,NA,NA,NA,0,1000-5000
129,Air Whisperer,28-05-92,01-08-18,SLOTS,1,0.987951807,Среден,82.98795181,19.98795181,0,0,0,0,19.98795181,0,0,0.759146341,Yes,NA,NA,NA,0,0-100
130,Nanny Stars,27-03-95,01-08-18,SLOTS,1,0.824442971,Среден,391.69,127.29,0,30,0,30,97.29,0.076591182,0.2356823,0.751614797,Yes,NA,NA,NA,0,100-500
131,Chopper Loser,11-09-93,01-08-18,SLOTS,1,0.260188088,Новак,83.26018809,19.72018809,0,0,0,0,19.72018809,0,0,0.763149849,Yes,NA,NA,NA,0,0-100
132,Cake Rivals,02-06-87,01-08-18,SLOTS,1,0.409434951,Слаб,454.6877398,59.98773981,0,0,0,0,59.98773981,0,0,0.868068271,NA,NA,NA,NA,0,100-500
133,Cajun Marvels,30-01-84,01-08-18,SLOTS,1,0.750967073,Слаб,626.5548354,235.6548354,0,0,0,0,235.6548354,0,0,0.623887931,Yes,NA,NA,NA,0,500-1000
134,The Attack,14-07-95,01-08-18,SLOTS,1,0.512371499,Слаб,378.9618575,49.86185749,0,0,0,0,49.86185749,0,0,0.868425129,Yes,NA,NA,NA,0,100-500
135,Sister Hot Rod,18-04-99,01-08-18,ROULETTE,1,1.625,Новак,8.125,6.125,0,0,0,0,6.125,0,0,0.246153846,NA,NA,NA,NA,0,0-100
136,Diva Boss,05-01-99,01-08-18,SLOTS,8,0.336821578,Новак,4097.183244,469.4032444,0,35,0,35,434.4032444,0.008542454,0.074562757,0.893975149,Yes,NA,NA,NA,0,1000-5000
137,Project Model,23-10-87,01-08-18,SLOTS,1,0.9225524,Среден,6048.59,12.81,140,0,0,14,-1.19,0.002314589,1.092896175,1.00019674,Yes,NA,NA,NA,0,5000-20000
138,Rock Star Rescue,04-01-59,01-08-18,SLOTS,4,0.23696946,Новак,2866.430667,329.9306667,0,20,0,20,309.9306667,0.006977319,0.060618797,0.89187575,Yes,NA,NA,NA,0,1000-5000
139,Hot Rod Show,10-06-91,01-08-18,SLOTS,1,0.735416667,Слаб,80.97083333,29.97083333,0,0,0,0,29.97083333,0,0,0.62985643,NA,NA,NA,NA,0,0-100
140,Rock Wars,17-06-65,01-08-18,ROULETTE,4,225.8422926,Силен,106809.3576,1754.588384,0,0,0,0,1754.588384,0,0,0.983572709,Yes,NA,NA,NA,0,OVer 100000
141,Pioneer Island,10-10-10,01-08-18,ROULETTE,1,2.08,Новак,22.08,-8.72,0,0,0,0,-8.72,0,0,1.394927536,NA,NA,NA,NA,0,0-100
